sentiment,text
Positive,Just wanted to send a quick email to pass on my excellent experience with the help desk agent Shashikanth.  He was extremely helpful and efficient.  Less than ten minutes and everything was solved! 
Positive,Made my first day back a success!
Positive,"Maria did an excellent resolving my issue.  She went through all the steps methodically and made sure to eliminate each potential troubleshoot one by one.  After our call accidentally disconnected, Maria took the proper steps to call me back to finish the job.  She even did a couple extra checks to make sure my system was back up and running."
Positive,Thank you for your attention
Positive,Pasha did a great job fixing my Bluejeans issue quickly!
Positive,"I wanted to let you know that Mr. Shashikanth Pawar was very helpful, professional, and proficient in setting up my vpn and software requirements yhis evening"
Positive,"Thank you for guiding me on setting up new password,"
Positive,You were very helpful
Positive,She was very helpful and a pleasure to work with.  Fixed my computer ASAP
Positive,Mr. Pasha was a wonderful and patient help for me. His service and polite manner was excellent. 
Positive,Ataullah was great – super friendly and solved my issue in  two mins!
Positive,"I had the pleasure to receive help from Shashanka tonight regarding a VPN connectivity issue. This is something which a handful of technicians were not able to resolve. Furthermore, it was very important to get this resolved because without it, I wouldn’t be able to do any work remotely."
Positive,"Shashanka demonstrated utmost patience and customer centric support, demonstrated with his willingness to troubleshoot serveral alternatives until we finally reached a resolution. Finally, with his help, I now have VPN access! Many thanks to his effort."
Positive,My name is Yossi Tal and I am a Backend developer at Solo Team in Mint
Positive,I would like to express my appreciation for “Amtul Noor” for helping me
Positive,Solve the problem that I have to connect to Cisco VPN from home network
Positive,She remote control my PC and found out that it was DNS issue and solve it .
Positive,I just wanted to take a moment of your time to say THANK YOU. 
Positive,"We have being working together for Three hours and I see that you are highly motivated you go aboveandbeyond, much more than “just doing your job”."
Positive,"You consistently demonstrates passion for the position, to problem solving and to the understanding that behind the request there is a person."
Positive,Taking the time to answer every query in professional clear way.
Positive,(These days I am afraid it is not something to take for granted).
Positive,So please know – your work is highly appreciated.
Positive,"Well done and thank you again,"
Positive,"I am new to intuit as a seasonal tax expert remote. Prem was very successful and helped me attach a second monitor for viewing and explained slack and workday to me.  He was very resourceful and a gentlemen, too."
Positive,"Please pass my kind words onto him,"
